Time,Column1,Column2,Column3,Label
2024-12-26 07:07:03,26.81,105.37,7.0,AsleepCore
2024-12-26 07:07:08,26.81,105.56,7.0,AsleepCore
2024-12-26 07:07:13,26.78,105.75,7.0,AsleepCore
2024-12-26 07:07:18,26.81,105.94,6.0,AsleepCore
2024-12-26 07:07:23,26.81,105.81,6.0,AsleepCore
2024-12-26 07:07:28,26.78,105.94,7.0,AsleepCore
2024-12-26 07:07:33,26.78,106.19,7.0,AsleepCore
2024-12-26 07:07:38,26.78,106.19,7.0,AsleepCore
2024-12-26 07:07:43,26.78,106.12,7.0,AsleepCore
2024-12-26 07:07:48,26.78,106.25,7.0,AsleepCore
2024-12-26 07:07:53,26.78,106.37,6.0,AsleepCore
2024-12-26 07:07:58,26.78,106.25,6.0,AsleepCore
2024-12-26 07:08:03,26.78,106.19,7.0,AsleepCore
2024-12-26 07:08:08,26.78,106.12,6.0,AsleepCore
2024-12-26 07:08:13,26.78,106.0,8.0,AsleepCore
2024-12-26 07:08:18,26.78,105.94,6.0,AsleepCore
2024-12-26 07:08:23,26.75,105.87,7.0,AsleepCore
2024-12-26 07:08:28,26.75,105.94,8.0,AsleepCore
2024-12-26 07:08:33,26.78,105.81,7.0,AsleepCore
2024-12-26 07:08:38,26.78,105.75,7.0,AsleepCore
2024-12-26 07:08:44,26.75,105.87,7.0,AsleepCore
2024-12-26 07:08:49,26.78,105.87,7.0,AsleepCore
2024-12-26 07:08:54,26.78,105.75,7.0,AsleepCore
2024-12-26 07:08:59,26.81,105.81,7.0,AsleepCore
2024-12-26 07:09:04,26.81,105.5,7.0,AsleepCore
2024-12-26 07:09:09,26.78,105.44,6.0,AsleepCore
2024-12-26 07:09:14,26.78,105.37,7.0,AsleepCore
2024-12-26 07:09:19,26.81,105.31,6.0,AsleepCore
2024-12-26 07:09:24,26.81,105.25,8.0,AsleepCore
2024-12-26 07:09:29,26.78,105.37,6.0,AsleepCore
2024-12-26 07:09:34,26.78,105.25,8.0,AsleepCore
2024-12-26 07:09:39,26.78,105.31,6.0,AsleepCore
2024-12-26 07:09:44,26.78,105.31,7.0,AsleepCore
2024-12-26 07:09:49,26.81,105.5,6.0,AsleepCore
2024-12-26 07:09:55,26.78,105.81,7.0,AsleepCore
2024-12-26 07:09:59,26.78,105.62,6.0,AsleepCore
2024-12-26 07:10:04,26.75,105.75,7.0,AsleepCore
2024-12-26 07:10:09,26.78,105.81,6.0,AsleepCore
2024-12-26 07:10:15,26.78,105.87,7.0,AsleepCore
2024-12-26 07:10:20,26.81,105.69,7.0,AsleepCore
2024-12-26 07:10:25,26.78,105.62,6.0,AsleepCore
2024-12-26 07:10:30,26.81,105.56,7.0,AsleepCore
2024-12-26 07:10:35,26.78,105.62,7.0,AsleepCore
2024-12-26 07:10:40,26.78,105.75,7.0,AsleepCore
2024-12-26 07:10:45,26.78,105.69,7.0,AsleepCore
2024-12-26 07:10:50,26.81,105.81,7.0,AsleepCore
2024-12-26 07:10:55,26.78,105.69,7.0,AsleepCore
2024-12-26 07:11:00,26.81,105.87,6.0,AsleepCore
2024-12-26 07:11:05,26.84,105.94,6.0,AsleepCore
2024-12-26 07:11:10,26.81,106.0,7.0,AsleepCore
2024-12-26 07:11:15,26.81,105.87,7.0,AsleepCore
2024-12-26 07:11:20,26.81,106.0,7.0,AsleepCore
2024-12-26 07:11:25,26.81,105.81,7.0,AsleepCore
2024-12-26 07:11:31,26.81,105.69,7.0,AsleepCore
2024-12-26 07:11:36,26.81,105.37,7.0,AsleepCore
2024-12-26 07:11:41,26.81,105.31,7.0,AsleepCore
2024-12-26 07:11:46,26.78,105.25,6.0,AsleepCore
2024-12-26 07:11:51,26.78,105.0,6.0,AsleepCore
2024-12-26 07:11:56,26.84,105.0,6.0,AsleepCore
2024-12-26 07:12:01,26.81,105.37,6.0,AsleepCore
2024-12-26 07:12:06,26.81,105.69,7.0,AsleepCore
2024-12-26 07:12:11,26.81,105.62,7.0,AsleepCore
2024-12-26 07:12:16,26.81,105.62,6.0,AsleepCore
2024-12-26 07:12:21,26.81,105.69,7.0,AsleepCore
2024-12-26 07:12:26,26.81,105.5,6.0,AsleepCore
2024-12-26 07:12:31,26.81,105.62,7.0,AsleepCore
2024-12-26 07:12:36,26.81,105.44,8.0,AsleepCore
2024-12-26 07:12:41,26.81,105.44,7.0,AsleepCore
2024-12-26 07:12:46,26.81,105.37,6.0,AsleepCore
2024-12-26 07:12:51,26.81,105.37,6.0,AsleepCore
2024-12-26 07:12:56,26.81,105.37,7.0,AsleepCore
2024-12-26 07:13:02,26.81,105.25,6.0,AsleepCore
2024-12-26 07:13:07,26.81,105.31,6.0,AsleepCore
2024-12-26 07:13:11,26.81,105.5,6.0,AsleepCore
2024-12-26 07:13:16,26.84,105.37,7.0,AsleepCore
2024-12-26 07:13:22,26.84,105.19,7.0,AsleepCore
2024-12-26 07:13:27,26.81,105.37,7.0,AsleepCore
2024-12-26 07:13:32,26.84,105.31,7.0,AsleepCore
2024-12-26 07:13:37,26.84,105.37,7.0,AsleepCore
2024-12-26 07:13:42,26.84,105.25,6.0,AsleepCore
2024-12-26 07:13:47,26.84,105.37,8.0,AsleepCore
2024-12-26 07:13:52,26.81,105.5,7.0,AsleepCore
2024-12-26 07:13:57,26.78,105.44,7.0,AsleepCore
2024-12-26 07:14:02,26.84,105.56,7.0,AsleepCore
2024-12-26 07:14:07,26.81,105.37,6.0,AsleepCore
2024-12-26 07:14:12,26.84,105.5,7.0,AsleepCore
2024-12-26 07:14:17,26.84,105.62,7.0,AsleepCore
2024-12-26 07:14:22,26.84,105.62,6.0,AsleepCore
2024-12-26 07:14:27,26.81,105.5,8.0,AsleepCore
2024-12-26 07:14:33,26.84,105.62,6.0,AsleepCore
2024-12-26 07:14:38,26.81,105.56,8.0,AsleepCore
2024-12-26 07:14:43,26.84,105.56,6.0,AsleepCore
2024-12-26 07:14:48,26.81,105.37,6.0,AsleepCore
